training/fb_actor/actor_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/B,training/fb_repr/B_norm,training/fb_repr/F1,training/fb_repr/M1,training/fb_repr/fb_diag,training/fb_repr/fb_loss,training/fb_repr/fb_offdiag,training/fb_repr/orth_loss,training/fb_repr/orth_loss_diag,training/fb_repr/orth_loss_offdiag,training/fb_repr/target_M,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/B,validation/fb_repr/B_norm,validation/fb_repr/F1,validation/fb_repr/M1,validation/fb_repr/fb_diag,validation/fb_repr/fb_loss,validation/fb_repr/fb_offdiag,validation/fb_repr/orth_loss,validation/fb_repr/orth_loss_diag,validation/fb_repr/orth_loss_offdiag,validation/fb_repr/target_M,time/epoch_time,time/total_time,step
-461.43146,127.66753,471.07086,-461.43146,461.43146,1.0,-0.0014174995,7.071068,-0.2713181,51.045147,-1711.3948,-1203.2847,547.5088,-39.39868,-100.00017,60.601486,51.04197,81.45165,-120.64531,10108.139,-448.53558,113.35777,459.62854,-448.53558,448.53558,1.0,0.007992189,7.071068,0.35981178,69.3861,-1846.8225,-1125.0134,750.25586,-28.44674,-99.999695,71.552956,69.61961,0.00344779748916626,678.6655378341675,185000
-484.46448,118.21968,493.3641,-484.46448,484.46448,1.0,-0.0026824218,7.071068,-0.05073486,54.04577,-1761.2957,-1323.7399,475.01126,-37.45541,-100.00009,62.54468,54.03878,124.95582,-195.79999,10764.247,-437.9987,118.2536,446.86478,-437.9987,437.9987,1.0,0.017206559,7.071068,0.58286417,64.3451,-1841.1974,-1089.1405,779.2554,-27.198532,-100.00038,72.80185,64.55591,0.003436078405380249,695.8459386825562,190000
-446.1468,115.1328,454.24908,-446.1468,446.1468,1.0,-0.0028105623,7.071068,0.39277717,51.828377,-1797.2515,-1402.5222,432.93884,-38.20955,-99.99971,61.79016,52.375683,196.99762,-245.71121,10937.376,-431.11234,100.14382,440.79434,-431.11234,431.11234,1.0,0.028857762,7.071068,0.18569732,66.532585,-1774.6393,-909.181,888.648,-23.189766,-100.00029,76.810524,66.43761,0.0034266714572906494,712.9793055057526,195000
-447.635,115.27639,453.35565,-447.635,447.635,1.0,-0.0014650801,7.071068,-0.39073157,48.72888,-1697.8441,-1238.9215,496.9655,-38.04288,-99.998764,61.955883,48.139404,129.30476,-126.40431,9869.064,-432.06616,98.4046,447.70367,-432.06616,432.06616,1.0,0.024812086,7.071068,0.7923787,68.68114,-1811.2343,-1059.8372,774.4681,-23.071083,-99.99998,76.928894,68.62755,0.00341327109336853,730.0456700325012,200000
-454.87787,110.35433,460.98434,-454.87787,454.87787,1.0,-0.020387828,7.071068,-0.42687428,52.19221,-1772.9324,-1346.3416,465.45465,-38.863773,-99.99886,61.13509,51.622406,130.32944,-124.25234,9498.121,-444.49728,122.52481,454.7386,-444.49728,444.49728,1.0,0.010815443,7.071068,-0.05806692,65.56061,-1855.1454,-980.65826,901.07227,-26.585152,-100.000114,73.41496,65.44872,0.003428503179550171,747.1881959438324,205000
-408.14133,98.0871,417.9053,-408.14133,408.14133,1.0,0.00054332823,7.071068,-0.25833628,51.894806,-1744.2422,-1298.3517,484.7183,-38.827774,-100.00076,61.17299,52.174744,86.64484,-115.81303,9921.055,-459.1981,105.93069,471.2284,-459.1981,459.1981,1.0,0.024765555,7.071068,0.20528847,66.89732,-1949.4043,-1117.4275,859.3268,-27.349998,-100.0007,72.6507,67.03966,0.003463442802429199,764.5054194927216,210000
-440.18765,126.894226,452.4218,-440.18765,440.18765,1.0,0.002339121,7.071068,-0.20587909,51.102757,-1758.1272,-1289.2312,507.8494,-38.9534,-100.00008,61.046677,51.371296,200.31131,-195.39978,11241.795,-442.65192,109.40263,465.51413,-442.65192,442.65192,1.0,0.021817293,7.071068,0.5704099,70.88754,-2061.1963,-1129.0537,961.39966,-29.257141,-100.00029,70.74315,71.58873,0.003437766981124878,781.6942632198334,215000
-413.0818,110.46587,428.71912,-413.0818,413.0818,1.0,-0.004318647,7.071068,0.011278495,52.255314,-1825.4507,-1328.0044,534.3418,-36.895546,-99.999794,63.104248,52.633244,88.31767,-155.61179,10670.894,-434.42682,120.517456,444.86118,-434.42682,434.42682,1.0,0.02208589,7.071068,0.2465513,68.784424,-1951.2084,-988.34875,988.7621,-25.902489,-99.99986,74.097374,69.10164,0.003425774621963501,798.8231453895569,220000
-398.97205,92.908615,414.07007,-398.97205,398.97205,1.0,0.00010189354,7.071068,-0.25694376,52.414577,-1755.5247,-1356.72,435.5621,-36.757423,-99.99918,63.24176,52.316376,105.67109,-105.434425,9201.117,-417.35455,114.10202,434.90564,-417.35455,417.35455,1.0,0.019520676,7.071068,0.0465023,65.75748,-1890.6527,-989.32776,927.60864,-26.283722,-99.99989,73.71617,64.795425,0.003450229024887085,816.0742995738983,225000
-460.6908,109.86485,470.02795,-460.6908,460.6908,1.0,-0.008611307,7.071068,-0.6402983,53.235435,-1801.8789,-1373.2987,465.10114,-36.520832,-100.000305,63.479473,53.209778,103.77978,-78.3342,9545.73,-458.96976,126.16628,464.62024,-458.96976,458.96976,1.0,0.026580699,7.071068,-0.5076002,70.51987,-1878.8196,-1041.5076,860.0575,-22.745422,-99.999985,77.25456,70.663536,0.0034411704540252687,833.2801606655121,230000
