training/fb_actor/actor_loss,training/fb_actor/bc_log_prob,training/fb_actor/bc_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/occ_measure_max,training/fb_repr/occ_measure_mean,training/fb_repr/occ_measure_min,training/fb_repr/ortho_diag_loss,training/fb_repr/ortho_loss,training/fb_repr/ortho_off_diag_loss,training/fb_repr/repr_diag_loss,training/fb_repr/repr_loss,training/fb_repr/repr_off_diag_loss,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/bc_log_prob,validation/fb_actor/bc_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/occ_measure_max,validation/fb_repr/occ_measure_mean,validation/fb_repr/occ_measure_min,validation/fb_repr/ortho_diag_loss,validation/fb_repr/ortho_loss,validation/fb_repr/ortho_off_diag_loss,validation/fb_repr/repr_diag_loss,validation/fb_repr/repr_loss,validation/fb_repr/repr_off_diag_loss,time/epoch_time,time/total_time,step
-115066.96,-10.50017,10.50017,1.6621797,115077.46,-115077.46,115077.46,1.0,174109.5,937.93945,-84846.05,-1023.99817,924.2923,1948.2904,-2279.4238,94841.305,97501.61,32327.346,-39406.875,6823614.0,-112427.055,-10.395796,10.395796,1.6273884,112437.45,-112437.45,112437.45,1.0,179117.36,563.7136,-93337.65,-1023.9916,999.5924,2023.584,-3395.37,91959.19,95728.484,0.004846170139312744,771.9922070503235,155000
-116457.26,-10.396902,10.396902,1.6277571,116467.66,-116467.66,116467.66,1.0,173622.19,1021.96967,-84548.48,-1024.0005,965.04913,1989.0496,-1861.8734,54603.496,56686.8,37254.348,-27785.516,5214635.5,-113959.31,-10.42303,10.42303,1.6364664,113969.734,-113969.734,113969.734,1.0,162920.16,618.6633,-87439.164,-1023.9948,1051.5186,2075.5134,-3537.055,56973.57,60747.945,0.004795436716079712,795.9693999290466,160000
-117540.39,-10.249237,10.249237,1.5785354,117550.64,-117550.64,117550.64,1.0,176665.66,651.68835,-85000.24,-1023.9974,919.25415,1943.2516,-3110.2886,42080.164,45367.676,20046.695,-20628.11,4168282.8,-116927.29,-10.275286,10.275286,1.5872183,116937.56,-116937.56,116937.56,1.0,177633.25,537.5343,-92380.016,-1023.99585,1112.7202,2136.716,-199.76086,43256.35,43626.52,0.0047486005306243894,819.7124116420746,165000
-117984.55,-10.248649,10.248649,1.5783391,117994.8,-117994.8,117994.8,1.0,163105.73,954.1099,-84792.914,-1023.9938,1059.8418,2083.8354,-2902.8777,63995.85,67161.086,30281.22,-25818.264,5674673.0,-119060.96,-10.484308,10.484308,1.6568925,119071.445,-119071.445,119071.445,1.0,179174.89,759.65405,-83069.55,-1023.9946,1222.0653,2246.0598,-2527.3257,65773.19,68568.375,0.009161061477661133,865.5177392959595,170000
-117446.36,-10.233636,10.233636,1.573335,117456.59,-117456.59,117456.59,1.0,178859.9,700.2112,-86575.15,-1023.99414,1079.8931,2103.8872,-3118.8723,54868.633,58214.906,43075.72,-38052.555,5355396.5,-118875.04,-10.380834,10.380834,1.622401,118885.42,-118885.42,118885.42,1.0,180026.97,635.2742,-85949.44,-1023.9938,1229.1902,2253.1838,-2311.6895,57911.15,60459.016,0.008956211757659913,910.2988080978394,175000
-116902.445,-10.443651,10.443651,1.6433399,116912.89,-116912.89,116912.89,1.0,168146.19,551.8854,-95551.88,-1023.9922,1214.7913,2238.7834,-1889.0878,54299.926,56409.36,21754.504,-29345.717,4779129.0,-117716.41,-10.4416,10.4416,1.6426561,117726.85,-117726.85,117726.85,1.0,159532.48,809.14886,-82337.06,-1023.9946,1318.2322,2342.2268,-2838.0986,55135.734,58201.2,0.010083321332931518,960.7154242992401,180000
-117928.52,-10.397977,10.397977,1.6281152,117938.92,-117938.92,117938.92,1.0,175292.62,699.8418,-94295.695,-1023.9944,1270.1604,2294.1548,-4502.901,50893.11,55613.25,35063.816,-55099.723,5407629.0,-118349.92,-10.60911,10.60911,1.6984929,118360.53,-118360.53,118360.53,1.0,189016.75,736.9764,-100293.31,-1023.99536,1458.8348,2482.83,-1888.6398,50709.48,52804.383,0.004875555038452149,985.0932092666626,185000
-118211.164,-10.448002,10.448002,1.6447904,118221.61,-118221.61,118221.61,1.0,225029.58,656.8423,-114076.586,-1023.9923,1326.6509,2350.643,-1665.1787,49171.29,51035.83,22704.715,-26014.473,4697095.5,-117478.48,-10.327148,10.327148,1.6045058,117488.805,-117488.805,117488.805,1.0,172805.0,600.1898,-96423.98,-1023.9952,1467.6913,2491.6865,-3594.6914,46032.016,49821.32,0.004859380531311035,1009.3901214599609,190000
-119783.64,-10.30073,10.30073,1.5956993,119793.94,-119793.94,119793.94,1.0,166057.83,785.8454,-78573.305,-1023.9949,1417.7181,2441.713,-3096.652,59983.117,63327.156,24725.367,-22254.547,5098317.0,-118448.016,-10.689177,10.689177,1.7251819,118458.7,-118458.7,118458.7,1.0,175298.89,663.8628,-116233.83,-1023.9967,1709.9636,2733.9604,-707.2981,67293.11,68267.086,0.0048408839225769044,1033.5945501327515,195000
-121128.04,-10.367252,10.367252,1.6178739,121138.41,-121138.41,121138.41,1.0,184135.1,677.1998,-87019.055,-1023.9939,1573.5227,2597.5166,-2353.664,65360.277,67979.5,31259.152,-24006.213,5125705.5,-118959.805,-10.332278,10.332278,1.6062157,118970.14,-118970.14,118970.14,1.0,181860.47,790.4257,-85182.336,-1023.99207,1722.925,2746.917,-1195.7976,59812.26,61247.305,0.004872085332870484,1057.9549860954285,200000
-120521.695,-10.187069,10.187069,1.5578129,120531.88,-120531.88,120531.88,1.0,162116.98,560.1959,-101443.17,-1023.99475,1585.1646,2609.1594,-2490.3306,48508.598,51198.93,26003.11,-19234.191,4536091.0,-119522.82,-10.464704,10.464704,1.6503575,119533.28,-119533.28,119533.28,1.0,211604.16,708.04956,-88936.34,-1023.99146,1929.5536,2953.545,-772.50165,49494.168,50463.812,0.004852297592163086,1082.2164838314056,205000
-121090.945,-10.537231,10.537231,1.6745336,121101.484,-121101.484,121101.484,1.0,188114.03,766.5938,-93116.875,-1024.0017,1693.1018,2717.1035,-4146.222,62939.883,67349.17,24346.629,-28338.406,4949449.5,-121285.54,-10.479521,10.479521,1.6552963,121296.016,-121296.016,121296.016,1.0,156009.17,642.5944,-81778.266,-1023.9949,1985.6565,3009.6514,-2798.84,68752.27,71831.734,0.00485039439201355,1106.4684648513794,210000
